investment_id,user_id,property_id,investment_date,num_shares,price_per_share_aed,amount_aed,status
INV00001,U0007,P012,2023-07-07,50,500,25000,completed
INV00002,U0040,P012,2024-06-29,100,500,50000,completed
INV00003,U0052,P005,2023-12-17,100,500,50000,completed
INV00004,U0060,P006,2024-01-23,1,500,500,completed
INV00005,U0048,P011,2024-01-21,100,500,50000,completed
INV00006,U0007,P008,2017-12-28,2,500,1000,completed
INV00007,U0013,P013,2024-02-11,100,500,50000,completed
INV00008,U0056,P015,2024-01-29,5,500,2500,completed
INV00009,U0026,P008,2017-07-02,1,500,500,completed
INV00010,U0050,P011,2023-09-07,100,500,50000,completed
INV00011,U0044,P009,2023-09-09,50,500,25000,completed
INV00012,U0017,P018,2023-10-31,1,500,500,completed
INV00013,U0028,P006,2023-08-25,1,500,500,completed
INV00014,U0033,P012,2023-10-21,10,500,5000,completed
INV00015,U0003,P004,2023-05-09,20,500,10000,completed
INV00016,U0035,P014,2022-04-23,20,500,10000,refunded
INV00017,U0043,P007,2023-03-17,10,500,5000,completed
INV00018,U0047,P011,2023-10-13,50,500,25000,completed
INV00019,U0021,P010,2024-05-07,5,500,2500,completed
INV00020,U0027,P013,2024-04-17,20,500,10000,completed
INV00021,U0026,P013,2024-03-17,20,500,-1000,completed
INV00022,U0028,P018,2023-05-15,5,500,2500,completed
INV00023,U0014,P011,2024-03-16,10,500,5000,completed
INV00024,U0051,P017,2023-11-27,100,500,50000,cancelled
INV00025,U0041,P006,2023-02-21,5,500,2500,completed
INV00026,U0016,P011,2023-03-01,100,500,50000,pending
INV00027,U0002,P010,2024-02-25,100,500,50000,completed
INV00028,U0050,P002,2023-01-27,10,500,5000,completed
INV00029,U0037,P003,2024-02-05,10,500,5000,cancelled
INV00030,U0026,P007,2024-03-14,50,500,25000,completed
INV00031,U0058,P008,2016-08-27,50,500,25000,completed
INV00032,U0052,P004,2024-06-15,10,500,5000,completed
INV00033,U0059,P017,2023-11-18,1,500,500,completed
INV00034,U0043,P004,2023-07-21,2,500,1000,completed
INV00035,U0049,P017,2024-02-23,20,500,10000,completed
INV00036,U0029,P015,2024-04-16,100,500,50000,cancelled
INV00037,U0016,P006,2024-03-27,10,500,5000,completed
INV00038,U0041,P009,2024-04-09,100,500,50000,completed
INV00039,U0019,P008,2018-01-29,10,500,5000,completed
INV00040,U0035,P008,2018-01-17,5,500,2500,completed
INV00041,U0045,P003,2023-03-17,2,500,1000,completed
INV00042,U0022,P005,2023-12-05,1,500,500,completed
INV00043,U0054,P018,2024-01-08,10,500,5000,completed
INV00044,U0045,P014,2023-05-25,100,500,50000,completed
INV00045,U0031,P001,2024-05-26,100,500,50000,completed
INV00046,U0025,P001,2024-06-17,5,500,2500,completed
INV00047,U0052,P014,2023-10-25,50,500,25000,completed
INV00048,U0032,P008,2020-06-22,2,500,1000,completed
INV00049,U0052,P001,2024-01-27,5,500,2500,completed
INV00050,U0009,P013,2024-03-15,100,500,50000,completed
INV00051,U0043,P018,2023-05-28,10,500,5000,completed
INV00052,U0056,P001,2023-11-10,50,500,25000,completed
INV00053,U0021,P015,2023-08-10,1,500,500,completed
INV00054,U0057,P007,2023-06-18,5,500,2500,completed
INV00055,U0027,P013,2024-04-13,100,500,50000,pending
INV00056,U0048,P009,2024-05-14,1,500,500,completed
INV00057,U0005,P018,2023-06-10,5,500,2500,completed
INV00058,U0002,P002,2022-06-22,2,500,1000,completed
INV00059,U0008,P005,2023-12-18,2,500,1000,completed
INV00060,U0024,P007,2023-06-29,50,500,25000,completed
INV00061,U0020,P006,2023-03-24,100,500,50000,completed
INV00062,U0037,P004,2023-11-23,1,500,500,refunded
INV00063,U0038,P013,2024-05-13,50,500,25000,completed
INV00064,U0055,P008,2016-02-22,50,500,25000,completed
INV00065,U0035,P004,2023-11-10,100,500,50000,completed
INV00066,U0042,P014,2024-02-28,5,500,2500,completed
INV00067,U0032,P011,2022-12-08,100,500,50000,completed
INV00068,U0054,P004,2023-06-27,5,500,2500,completed
INV00069,U0034,P015,2023-07-11,10,500,5000,completed
INV00070,U0050,P009,2024-01-23,100,500,50000,refunded
INV00071,U0038,P016,2024-06-19,10,500,5000,completed
INV00072,U0060,P009,2023-08-26,100,500,50000,completed
INV00073,U0030,P003,2023-08-08,10,500,5000,completed
INV00074,U0021,P013,2024-04-28,1,500,500,completed
INV00075,U0017,P006,2024-04-09,2,500,1000,completed
INV00076,U0018,P011,2023-09-08,20,500,10000,completed
INV00077,U0006,P018,2023-05-20,20,500,10000,refunded
INV00078,U0049,P008,2023-01-28,10,500,5000,completed
INV00079,U0032,P008,2022-09-29,10,500,5000,completed
INV00080,U0026,P015,2023-02-22,1,500,500,completed
INV00081,U0031,P008,2018-06-08,50,500,25000,completed
INV00082,U0048,P018,2024-02-10,5,500,2500,completed
INV00083,U0018,P018,2023-10-31,5,500,2500,completed
INV00084,U0013,P010,2024-03-03,2,500,1000,completed
INV00085,U0049,P011,2023-03-28,50,500,25000,completed
INV00086,U0018,P006,2023-06-11,2,500,1000,completed
INV00087,U0054,P017,2024-04-02,5,500,2500,pending
INV00088,U0020,P007,2023-01-07,2,500,1000,completed
INV00089,U0003,P001,2024-04-18,20,500,10000,completed
INV00090,U0009,P002,2023-12-09,5,500,2500,completed
INV00091,U0019,P016,2024-03-18,100,500,50000,completed
INV00092,U0004,P016,2024-06-22,10,500,5000,completed
INV00093,U0005,P009,2024-05-28,10,500,5000,completed
INV00094,U0044,P013,2024-06-06,1,500,500,completed
INV00095,U0006,P002,2022-10-24,2,500,1000,completed
INV00096,U0049,P010,2024-01-20,2,500,1000,completed
INV00097,U0015,P014,2024-01-02,20,500,10000,completed
INV00098,U0020,P017,2023-08-24,10,500,5000,cancelled
INV00099,U0040,P014,2023-02-28,20,500,10000,completed
INV00100,U0017,P004,2024-05-30,2,500,1000,completed
INV00101,U0005,P003,2023-04-05,2,500,1000,completed
INV00102,U0039,P006,2022-11-29,10,500,5000,completed
INV00103,U0046,P016,2024-05-05,1,500,500,completed
INV00104,U0044,P010,2024-06-26,100,500,50000,completed
INV00105,U0038,P008,2017-12-19,100,500,50000,completed
INV00106,U0042,P007,2023-05-19,1,500,500,completed
INV00107,U0004,P005,2024-01-01,100,500,50000,completed
INV00108,U0037,P006,2023-10-07,20,500,10000,completed
INV00109,U0020,P010,2024-04-20,1,500,500,completed
INV00110,U0029,P013,2024-04-11,20,500,10000,completed
INV00111,U0048,P003,2024-06-30,1,500,500,cancelled
INV00112,U0044,P011,2023-08-09,1,500,500,completed
INV00113,U0037,P001,2024-05-02,50,500,25000,completed
INV00114,U0029,P002,2022-11-17,10,500,5000,completed
INV00115,U0053,P009,2023-06-14,20,500,10000,completed
INV00116,U0022,P016,2024-03-15,10,500,5000,completed
INV00117,U0027,P011,2023-03-13,100,500,50000,completed
INV00118,U0053,P016,2024-05-04,50,500,25000,refunded
INV00119,U0017,P018,2023-06-02,10,500,5000,completed
INV00120,U0033,P011,2023-03-24,100,500,50000,completed
INV00121,U0027,P001,2024-04-05,100,500,50000,completed
INV00122,U0049,P002,2022-11-30,20,500,10000,completed
INV00123,U0018,P016,2024-06-13,100,500,50000,completed
INV00124,U0045,P018,2023-07-21,5,500,2500,completed
INV00125,U0039,P016,2024-03-23,1,500,500,pending
INV00126,U0001,P008,2022-12-17,2,500,1000,completed
INV00127,U0054,P018,2023-12-09,1,500,500,completed
INV00128,U0010,P004,2023-07-26,1,500,500,completed
INV00129,U0027,P016,2024-05-05,20,500,10000,completed
INV00130,U0010,P016,2024-06-20,2,500,1000,completed
INV00131,U0057,P013,2024-03-21,20,500,10000,completed
INV00132,U0055,P005,2023-09-22,5,500,2500,completed
INV00133,U0053,P014,2023-04-05,100,500,50000,completed
INV00134,U0038,P001,2023-12-31,50,500,25000,completed
INV00135,U0023,P016,2024-03-30,10,500,5000,completed
INV00136,U0030,P011,2024-06-13,100,500,50000,completed
INV00137,U0025,P011,2023-06-07,50,500,25000,completed
INV00138,U0048,P008,2023-09-12,10,500,5000,completed
INV00139,U0051,P016,2024-05-28,10,500,5000,pending
INV00140,U0038,P005,2024-04-27,1,500,500,completed
INV00141,U0007,P011,2023-03-08,100,500,50000,completed
INV00142,U0027,P017,2023-11-10,1,500,500,completed
INV00143,U0017,P005,2023-09-25,10,500,5000,completed
INV00144,U0022,P011,2024-01-07,50,500,25000,completed
INV00145,U0057,P018,2023-11-25,5,500,2500,completed
INV00146,U0041,P016,2024-03-01,20,500,10000,completed
INV00147,U0007,P010,2024-02-26,50,500,25000,completed
INV00148,U0058,P004,2023-07-08,2,500,1000,completed
INV00149,U0019,P001,2023-10-31,5,500,2500,completed
INV00150,U0034,P012,2023-12-22,10,500,5000,completed
INV00151,U0011,P014,2023-11-22,50,500,25000,completed
INV00152,U0040,P006,2023-02-15,20,500,10000,cancelled
INV00153,U0030,P008,2020-07-31,20,500,10000,completed
INV00154,U0058,P009,2023-11-04,5,500,2500,completed
INV00155,U0005,P015,2023-11-26,50,500,25000,completed
INV00156,U0028,P015,2024-01-24,20,500,10000,completed
INV00157,U0025,P009,2023-11-02,100,500,50000,completed
INV00158,U0023,P016,2024-03-19,2,500,1000,completed
INV00159,U0054,P010,2024-06-26,5,500,2500,completed
INV00160,U0044,P013,2024-04-12,1,500,500,completed
INV00161,U0058,P002,2024-02-01,50,500,25000,completed
INV00162,U0015,P010,2024-02-26,20,500,10000,completed
INV00163,U0047,P007,2023-12-05,5,500,2500,completed
INV00164,U0020,P005,2023-10-06,50,500,25000,completed
INV00165,U0009,P015,2023-03-11,20,500,10000,completed
INV00166,U0012,P003,2023-08-25,5,500,2500,completed
INV00167,U0024,P007,2022-07-23,100,500,50000,completed
INV00168,U0017,P017,2023-12-26,5,500,2500,completed
INV00169,U0052,P016,2024-05-06,50,500,25000,cancelled
INV00170,U0015,P004,2023-08-02,1,500,500,completed
INV00171,U0026,P013,2024-06-23,5,500,2500,completed
INV00172,U0024,P001,2023-12-26,20,500,10000,completed
INV00173,U0006,P009,2024-01-07,10,500,5000,completed
INV00174,U0002,P012,2023-03-24,50,500,25000,completed
INV00175,U0005,P018,2023-10-29,20,500,10000,completed
INV00176,U0009,P015,2023-12-11,50,500,25000,completed
INV00177,U0008,P002,2022-06-29,5,500,2500,pending
INV00178,U0030,P004,2022-12-06,20,500,10000,completed
INV00179,U0047,P012,2024-06-09,10,500,5000,completed
INV00180,U0032,P005,2024-03-17,50,500,25000,completed
INV00181,U0014,P014,2023-02-02,1,500,500,completed
INV00182,U0007,P015,2024-05-05,2,500,1000,cancelled
INV00183,U0026,P012,2024-06-13,50,500,25000,completed
INV00184,U0053,P009,2023-06-19,1,500,500,refunded
INV00185,U0041,P015,2023-05-09,50,500,25000,completed
INV00186,U0009,P001,2023-11-01,100,500,50000,completed
INV00187,U0014,P007,2022-05-19,100,500,50000,completed
INV00188,U0050,P007,2024-06-19,100,500,50000,completed
INV00189,U0010,P005,2024-06-18,1,500,500,completed
INV00190,U0008,P005,2024-05-20,5,500,2500,completed
INV00191,U0051,P001,2023-11-22,1,500,500,completed
INV00192,U0017,P008,2021-08-08,5,500,2500,completed
INV00193,U0008,P002,2022-09-28,50,500,25000,completed
INV00194,U0033,P003,2024-02-26,10,500,5000,completed
INV00195,U0040,P004,2023-07-16,20,500,10000,completed
INV00196,U0043,P002,2024-06-04,100,500,50000,cancelled
INV00197,U0002,P017,2023-06-04,10,500,5000,completed
INV00198,U0044,P002,2023-09-24,100,500,50000,completed
INV00199,U0005,P004,2023-08-25,50,500,25000,cancelled
INV00200,U0009,P003,2023-09-21,20,500,10000,completed
INV00201,U0046,P009,2024-01-27,50,500,25000,completed
INV00202,U0030,P011,2023-12-21,20,500,10000,completed
INV00203,U0045,P017,2024-04-10,10,500,5000,completed
INV00204,U0036,P004,2024-02-09,50,500,25000,cancelled
INV00205,U0027,P007,2023-05-24,10,500,5000,cancelled
INV00206,U0007,P011,2024-03-04,10,500,5000,completed
INV00207,U0024,P011,2024-02-06,5,500,2500,completed
INV00208,U0006,P005,2024-04-16,1,500,500,completed
INV00209,U0024,P003,2024-01-12,1,500,500,completed
INV00210,U0036,P005,2024-05-28,1,500,500,completed
INV00211,U0023,P018,2023-10-30,50,500,25000,completed
INV00212,U0039,P014,2024-04-29,1,500,500,pending
INV00213,U0014,P010,2024-03-29,1,500,500,completed
INV00214,U0023,P005,2024-04-20,2,500,1000,completed
INV00215,U0037,P018,2023-11-19,1,500,500,completed
INV00216,U0050,P008,2024-01-20,10,500,5000,completed
INV00217,U0054,P018,2023-05-28,20,500,10000,refunded
INV00218,U0049,P009,2023-03-28,2,500,1000,completed
INV00219,U0056,P010,2024-03-25,5,500,2500,completed
INV00220,U0010,P005,2024-06-02,50,500,25000,completed
INV00221,U0025,P001,2023-11-12,50,500,25000,completed
INV00222,U0020,P014,2023-07-30,5,500,2500,completed
INV00223,U0004,P011,2024-06-29,20,500,10000,completed
INV00224,U0044,P005,2023-11-06,100,500,50000,completed
INV00225,U0032,P003,2023-08-01,10,500,5000,completed
INV00226,U0033,P015,2024-04-04,5,500,2500,completed
INV00227,U0044,P004,2023-03-29,10,500,5000,completed
INV00228,U0039,P016,2024-05-09,1,500,500,completed
INV00229,U0014,P002,2022-05-29,2,500,1000,completed
INV00230,U0001,P005,2023-12-26,5,500,2500,completed
INV00231,U0035,P016,2024-06-10,2,500,1000,completed
INV00232,U0052,P008,2020-08-11,20,500,10000,completed
INV00233,U0003,P012,2023-02-15,10,500,5000,cancelled
INV00234,U0056,P014,2022-05-11,10,500,5000,refunded
INV00235,U0041,P011,2024-02-08,20,500,10000,completed
INV00236,U0021,P014,2023-02-12,1,500,500,completed
INV00237,U0024,P006,2024-03-12,100,500,50000,completed
INV00238,U0028,P003,2024-01-17,100,500,50000,completed
INV00239,U0020,P013,2024-06-15,1,500,500,completed
INV00240,U0005,P011,2023-07-10,5,500,2500,completed
INV00241,U0013,P017,2024-05-09,1,500,500,completed
INV00242,U0042,P012,2023-11-28,50,500,25000,pending
INV00243,U0013,P005,2023-12-16,1,500,500,completed
INV00244,U0005,P006,2023-05-02,100,500,50000,completed
INV00245,U0049,P006,2024-04-15,10,500,5000,completed
INV00246,U0021,P015,2024-01-01,100,500,50000,pending
INV00247,U0041,P005,2024-03-30,1,500,500,completed
INV00248,U0033,P010,2024-03-09,20,500,10000,completed
INV00249,U0004,P003,2023-09-09,10,500,5000,completed
INV00250,U0055,P012,2023-09-23,1,500,500,completed
INV00251,U0038,P003,2024-06-26,20,500,10000,completed
INV00252,U0029,P018,2024-06-23,50,500,25000,cancelled
INV00253,U0010,P007,2023-02-02,20,500,10000,completed
INV00254,U0054,P002,2023-08-26,1,500,500,completed
INV00255,U0003,P011,2023-02-20,20,500,10000,completed
INV00256,U0034,P008,2022-12-08,10,500,5000,pending
INV00257,U0059,P017,2024-04-15,2,500,1000,completed
INV00258,U0044,P010,2024-04-07,10,500,5000,completed
INV00259,U0022,P002,2024-02-27,50,500,25000,completed
INV00260,U0017,P004,2023-11-02,50,500,25000,completed
INV00261,U0010,P005,2024-02-04,1,500,500,completed
INV00262,U0026,P012,2023-10-17,50,500,25000,completed
INV00263,U0020,P005,2024-06-17,50,500,25000,refunded
INV00264,U0053,P018,2023-11-23,50,500,25000,completed
INV00265,U0028,P005,2024-05-13,1,500,500,completed
INV00266,U0012,P017,2023-08-05,1,500,500,completed
INV00267,U0015,P007,2023-02-22,100,500,50000,completed
INV00268,U0051,P005,2023-11-05,1,500,500,completed
INV00269,U0048,P004,2023-09-11,100,500,50000,completed
INV00270,U0050,P017,2022-09-07,50,500,25000,completed
INV00271,U0012,P005,2024-06-18,10,500,5000,completed
INV00272,U0044,P006,2024-02-18,1,500,500,completed
INV00273,U0048,P008,2019-12-25,20,500,10000,completed
INV00274,U0052,P015,2023-10-02,20,500,10000,completed
INV00275,U0037,P016,2024-04-10,5,500,2500,completed
INV00276,U0025,P015,2024-05-22,100,500,50000,completed
INV00277,U0053,P017,2024-01-22,10,500,5000,pending
INV00278,U0017,P007,2024-06-07,20,500,10000,completed
INV00279,U0036,P002,2024-03-08,10,500,5000,cancelled
INV00280,U0008,P004,2024-04-07,100,500,50000,completed
INV00281,U0019,P999,2023-05-10,4,500,2000,completed
INV00282,U9999,P003,2023-06-15,3,500,1500,completed
INV00016,U0035,P014,2022-04-23,20,500,10000,refunded
